,date,state,positive
0,20200416,AK,300.0
1,20200416,AL,4345.0
2,20200416,AR,1620.0
3,20200416,AS,0.0
4,20200416,AZ,4234.0
5,20200416,CA,26182.0
6,20200416,CO,8280.0
7,20200416,CT,15884.0
8,20200416,DC,2350.0
9,20200416,DE,2075.0
10,20200416,FL,22897.0
11,20200416,GA,15669.0
12,20200416,GU,135.0
13,20200416,HI,530.0
14,20200416,IA,2141.0
15,20200416,ID,1587.0
16,20200416,IL,25733.0
17,20200416,IN,9542.0
18,20200416,KS,1588.0
19,20200416,KY,2291.0
20,20200416,LA,22532.0
21,20200416,MA,32181.0
22,20200416,MD,10784.0
23,20200416,ME,796.0
24,20200416,MI,29263.0
25,20200416,MN,1912.0
26,20200416,MO,5111.0
27,20200416,MP,13.0
28,20200416,MS,3624.0
29,20200416,MT,415.0
30,20200416,NC,5465.0
31,20200416,ND,393.0
32,20200416,NE,952.0
33,20200416,NH,1139.0
34,20200416,NJ,75317.0
35,20200416,NM,1484.0
36,20200416,NV,3321.0
37,20200416,NY,222284.0
38,20200416,OH,8414.0
39,20200416,OK,2357.0
40,20200416,OR,1736.0
41,20200416,PA,27735.0
42,20200416,PR,1043.0
43,20200416,RI,3838.0
44,20200416,SC,3656.0
45,20200416,SD,1311.0
46,20200416,TN,6262.0
47,20200416,TX,16455.0
48,20200416,UT,2683.0
49,20200416,VA,6889.0
50,20200416,VI,51.0
51,20200416,VT,768.0
52,20200416,WA,10783.0
53,20200416,WI,3875.0
54,20200416,WV,739.0
55,20200416,WY,296.0
56,20200415,AK,293.0
57,20200415,AL,4113.0
58,20200415,AR,1569.0
59,20200415,AS,0.0
60,20200415,AZ,3962.0
61,20200415,CA,24424.0
62,20200415,CO,7941.0
63,20200415,CT,14755.0
64,20200415,DC,2197.0
65,20200415,DE,2014.0
66,20200415,FL,22511.0
67,20200415,GA,14987.0
68,20200415,GU,135.0
69,20200415,HI,517.0
70,20200415,IA,1995.0
71,20200415,ID,1464.0
72,20200415,IL,24593.0
73,20200415,IN,8955.0
74,20200415,KS,1494.0
75,20200415,KY,2210.0
76,20200415,LA,21951.0
77,20200415,MA,29918.0
78,20200415,MD,10032.0
79,20200415,ME,770.0
80,20200415,MI,28059.0
81,20200415,MN,1809.0
82,20200415,MO,4895.0
83,20200415,MP,13.0
84,20200415,MS,3360.0
85,20200415,MT,404.0
86,20200415,NC,5123.0
87,20200415,ND,365.0
88,20200415,NE,901.0
89,20200415,NH,1139.0
90,20200415,NJ,71030.0
91,20200415,NM,1407.0
92,20200415,NV,3211.0
93,20200415,NY,213779.0
94,20200415,OH,7791.0
95,20200415,OK,2263.0
96,20200415,OR,1663.0
97,20200415,PA,26490.0
98,20200415,PR,974.0
99,20200415,RI,3529.0
100,20200415,SC,3656.0
101,20200415,SD,1168.0
102,20200415,TN,6079.0
103,20200415,TX,15492.0
104,20200415,UT,2542.0
105,20200415,VA,6500.0
106,20200415,VI,51.0
107,20200415,VT,759.0
108,20200415,WA,10694.0
109,20200415,WI,3721.0
110,20200415,WV,702.0
111,20200415,WY,287.0
112,20200414,AK,285.0
113,20200414,AL,3876.0
114,20200414,AR,1480.0
115,20200414,AS,0.0
116,20200414,AZ,3806.0
117,20200414,CA,23338.0
118,20200414,CO,7691.0
119,20200414,CT,13989.0
120,20200414,DC,2058.0
121,20200414,DE,1761.0
122,20200414,FL,21367.0
123,20200414,GA,14223.0
124,20200414,GU,135.0
125,20200414,HI,504.0
126,20200414,IA,1899.0
127,20200414,ID,1453.0
128,20200414,IL,23247.0
129,20200414,IN,8527.0
130,20200414,KS,1426.0
131,20200414,KY,2048.0
132,20200414,LA,21518.0
133,20200414,MA,28163.0
134,20200414,MD,9472.0
135,20200414,ME,734.0
136,20200414,MI,27001.0
137,20200414,MN,1695.0
138,20200414,MO,4686.0
139,20200414,MP,13.0
140,20200414,MS,3087.0
141,20200414,MT,399.0
142,20200414,NC,5024.0
143,20200414,ND,341.0
144,20200414,NE,871.0
145,20200414,NH,1020.0
146,20200414,NJ,68824.0
147,20200414,NM,1345.0
148,20200414,NV,3088.0
149,20200414,NY,202208.0
150,20200414,OH,7153.0
151,20200414,OK,2184.0
152,20200414,OR,1633.0
153,20200414,PA,25345.0
154,20200414,PR,923.0
155,20200414,RI,3251.0
156,20200414,SC,3553.0
157,20200414,SD,988.0
158,20200414,TN,5823.0
159,20200414,TX,14624.0
160,20200414,UT,2412.0
161,20200414,VA,6171.0
162,20200414,VI,51.0
163,20200414,VT,752.0
164,20200414,WA,10538.0
165,20200414,WI,3555.0
166,20200414,WV,640.0
167,20200414,WY,275.0
168,20200413,AK,277.0
169,20200413,AL,3734.0
170,20200413,AR,1410.0
171,20200413,AS,0.0
172,20200413,AZ,3702.0
173,20200413,CA,22348.0
174,20200413,CO,7684.0
175,20200413,CT,13381.0
176,20200413,DC,1955.0
177,20200413,DE,1625.0
178,20200413,FL,20601.0
179,20200413,GA,13315.0
180,20200413,GU,135.0
181,20200413,HI,499.0
182,20200413,IA,1710.0
183,20200413,ID,1426.0
184,20200413,IL,22025.0
185,20200413,IN,8236.0
186,20200413,KS,1376.0
187,20200413,KY,1963.0
188,20200413,LA,21016.0
189,20200413,MA,26867.0
