,Date,State,Positive_Cases
0,02/28/2020,Washington,9.0
1,02/29/2020,Washington,18.0
2,03/01/2020,Michigan,9.0
3,03/01/2020,Rhode Island,1.0
4,03/01/2020,Washington,30.0
5,03/02/2020,Michigan,18.0
6,03/02/2020,Rhode Island,1.0
7,03/02/2020,Washington,34.0
8,03/03/2020,Michigan,34.0
9,03/03/2020,Rhode Island,2.0
10,03/03/2020,Washington,58.0
11,03/04/2020,Arizona,2.0
12,03/04/2020,California,53.0
13,03/04/2020,Florida,2.0
14,03/04/2020,Georgia,2.0
15,03/04/2020,Illinois,4.0
16,03/04/2020,Massachusetts,2.0
17,03/04/2020,Michigan,52.0
18,03/04/2020,North Carolina,1.0
19,03/04/2020,New Hampshire,2.0
20,03/04/2020,New York,6.0
21,03/04/2020,Oregon,3.0
22,03/04/2020,Rhode Island,2.0
23,03/04/2020,South Carolina,0.0
24,03/04/2020,Texas,1.0
25,03/04/2020,Washington,76.0
26,03/04/2020,Wisconsin,1.0
27,03/05/2020,Arizona,2.0
28,03/05/2020,California,53.0
29,03/05/2020,Colorado,0.0
30,03/05/2020,District of Columbia,0.0
31,03/05/2020,Florida,9.0
32,03/05/2020,Georgia,2.0
33,03/05/2020,Illinois,5.0
34,03/05/2020,Massachusetts,2.0
35,03/05/2020,Maryland,0.0
36,03/05/2020,Michigan,72.0
37,03/05/2020,North Carolina,1.0
38,03/05/2020,Nebraska,0.0
39,03/05/2020,New Hampshire,2.0
40,03/05/2020,New Jersey,1.0
41,03/05/2020,Nevada,1.0
42,03/05/2020,New York,22.0
43,03/05/2020,Ohio,0.0
44,03/05/2020,Oregon,3.0
45,03/05/2020,Rhode Island,2.0
46,03/05/2020,South Carolina,0.0
47,03/05/2020,Tennessee,1.0
48,03/05/2020,Texas,1.0
49,03/05/2020,Virginia,0.0
50,03/05/2020,Washington,96.0
51,03/05/2020,Wisconsin,1.0
52,03/06/2020,Alaska,0.0
53,03/06/2020,Arkansas,0.0
54,03/06/2020,Arizona,3.0
55,03/06/2020,California,60.0
56,03/06/2020,Colorado,2.0
57,03/06/2020,District of Columbia,0.0
58,03/06/2020,Delaware,0.0
59,03/06/2020,Florida,9.0
60,03/06/2020,Georgia,2.0
61,03/06/2020,Iowa,0.0
62,03/06/2020,Illinois,5.0
63,03/06/2020,Indiana,1.0
64,03/06/2020,Kansas,0.0
65,03/06/2020,Kentucky,0.0
66,03/06/2020,Massachusetts,8.0
67,03/06/2020,Maryland,3.0
68,03/06/2020,Michigan,98.0
69,03/06/2020,Minnesota,0.0
70,03/06/2020,North Carolina,2.0
71,03/06/2020,Nebraska,0.0
72,03/06/2020,New Hampshire,2.0
73,03/06/2020,New Jersey,1.0
74,03/06/2020,New Mexico,0.0
75,03/06/2020,Nevada,1.0
76,03/06/2020,New York,33.0
77,03/06/2020,Ohio,0.0
78,03/06/2020,Oregon,3.0
79,03/06/2020,Pennsylvania,2.0
80,03/06/2020,Rhode Island,3.0
81,03/06/2020,South Carolina,0.0
82,03/06/2020,Tennessee,1.0
83,03/06/2020,Texas,5.0
84,03/06/2020,Virginia,0.0
85,03/06/2020,Vermont,0.0
86,03/06/2020,Washington,149.0
87,03/06/2020,Wisconsin,1.0
88,03/06/2020,West Virginia,0.0
89,03/07/2020,Alaska,0.0
90,03/07/2020,Alabama,0.0
91,03/07/2020,Arkansas,0.0
92,03/07/2020,Arizona,5.0
93,03/07/2020,California,69.0
94,03/07/2020,Colorado,8.0
95,03/07/2020,Connecticut,0.0
96,03/07/2020,District of Columbia,0.0
97,03/07/2020,Delaware,0.0
98,03/07/2020,Florida,14.0
99,03/07/2020,Georgia,6.0
100,03/07/2020,Hawaii,1.0
101,03/07/2020,Iowa,0.0
102,03/07/2020,Idaho,0.0
103,03/07/2020,Illinois,6.0
104,03/07/2020,Indiana,1.0
105,03/07/2020,Kansas,0.0
106,03/07/2020,Kentucky,1.0
107,03/07/2020,Louisiana,0.0
108,03/07/2020,Massachusetts,13.0
109,03/07/2020,Maryland,3.0
110,03/07/2020,Maine,0.0
111,03/07/2020,Michigan,128.0
112,03/07/2020,Minnesota,1.0
113,03/07/2020,Missouri,0.0
114,03/07/2020,Mississippi,0.0
115,03/07/2020,Montana,0.0
116,03/07/2020,North Carolina,2.0
117,03/07/2020,North Dakota,0.0
118,03/07/2020,Nebraska,1.0
119,03/07/2020,New Hampshire,2.0
120,03/07/2020,New Jersey,4.0
121,03/07/2020,New Mexico,0.0
122,03/07/2020,Nevada,1.0
123,03/07/2020,New York,76.0
124,03/07/2020,Ohio,0.0
125,03/07/2020,Oklahoma,1.0
126,03/07/2020,Oregon,7.0
127,03/07/2020,Pennsylvania,4.0
128,03/07/2020,Rhode Island,2.0
129,03/07/2020,South Carolina,2.0
130,03/07/2020,South Dakota,0.0
131,03/07/2020,Tennessee,1.0
132,03/07/2020,Texas,8.0
133,03/07/2020,Utah,1.0
134,03/07/2020,Virginia,0.0
135,03/07/2020,Vermont,0.0
136,03/07/2020,Washington,181.0
137,03/07/2020,Wisconsin,1.0
138,03/07/2020,West Virginia,0.0
139,03/07/2020,Wyoming,0.0
140,03/08/2020,Alaska,0.0
141,03/08/2020,Alabama,0.0
142,03/08/2020,Arkansas,0.0
143,03/08/2020,Arizona,5.0
144,03/08/2020,California,88.0
145,03/08/2020,Colorado,8.0
146,03/08/2020,Connecticut,1.0
147,03/08/2020,District of Columbia,1.0
148,03/08/2020,Delaware,0.0
149,03/08/2020,Florida,17.0
150,03/08/2020,Georgia,7.0
151,03/08/2020,Hawaii,1.0
152,03/08/2020,Iowa,0.0
153,03/08/2020,Idaho,0.0
154,03/08/2020,Illinois,6.0
155,03/08/2020,Indiana,2.0
156,03/08/2020,Kansas,1.0
157,03/08/2020,Kentucky,1.0
158,03/08/2020,Louisiana,0.0
159,03/08/2020,Massachusetts,13.0
160,03/08/2020,Maryland,3.0
161,03/08/2020,Maine,0.0
162,03/08/2020,Michigan,168.0
163,03/08/2020,Minnesota,1.0
164,03/08/2020,Missouri,1.0
165,03/08/2020,Mississippi,0.0
166,03/08/2020,Montana,0.0
167,03/08/2020,North Carolina,2.0
168,03/08/2020,North Dakota,0.0
169,03/08/2020,Nebraska,1.0
170,03/08/2020,New Hampshire,4.0
171,03/08/2020,New Jersey,6.0
172,03/08/2020,New Mexico,0.0
173,03/08/2020,Nevada,1.0
174,03/08/2020,New York,105.0
175,03/08/2020,Ohio,0.0
